County,Median Household Income
"Inyo County, California",64332
"Kern County, California",65981
"Kings County, California",63683
"Lake County, California",51848
"Lassen County, California",60308
"Los Angeles County, California",82455
"Madera County, California",71273
"Marin County, California",135960
"Mariposa County, California",66513
"Mendocino County, California",63621
"Merced County, California",65253
"Modoc County, California",51166
"Mono County, California",79105
"Monterey County, California",91450
"Napa County, California",98580
"Nevada County, California",80069
"Orange County, California",106047
"Placer County, California",106114
"Plumas County, California",66725
"Riverside County, California",86350
"Sacramento County, California",83985
"San Benito County, California",106560
"San Bernardino County, California",78779
"San Diego County, California",98365
"San Francisco County, California",135366
"San Joaquin County, California",84738
"San Luis Obispo County, California",88578
"San Mateo County, California",143795
"Santa Barbara County, California",89334
"Santa Clara County, California",150502
"Santa Cruz County, California",99256
"Shasta County, California",66312
"Sierra County, California",63939
"Siskiyou County, California",51593
"Solano County, California",92711
"Sonoma County, California",96312
"Stanislaus County, California",75249
"Sutter County, California",66071
"Tehama County, California",58900
"Trinity County, California",49485
"Tulare County, California",64313
"Tuolumne County, California",70108
"Ventura County, California",101981
"Yolo County, California",82359
"Yuba County, California",63626
"Adams County, Colorado",89849
"Alamosa County, Colorado",53942
"Arapahoe County, Colorado",93525
"Archuleta County, Colorado",66025
"Baca County, Colorado",47147
"Bent County, Colorado",42958
"Boulder County, Colorado",96584
"Broomfield County, Colorado",114746
"Chaffee County, Colorado",75151
"Cheyenne County, Colorado",62891
"Clear Creek County, Colorado",90350
"Conejos County, Colorado",49141
"Costilla County, Colorado",36970
"Crowley County, Colorado",49785
"Custer County, Colorado",67766
"Delta County, Colorado",53910
"Denver County, Colorado",87619
"Dolores County, Colorado",56695
"Douglas County, Colorado",140768
"Eagle County, Colorado",105813
"Elbert County, Colorado",120394
"El Paso County, Colorado",82248
"Fremont County, Colorado",57275
"Garfield County, Colorado",86566
"Gilpin County, Colorado",89805
"Grand County, Colorado",88059
"Gunnison County, Colorado",88855
"Hinsdale County, Colorado",70675
"Huerfano County, Colorado",47968
"Jackson County, Colorado",62439
"Jefferson County, Colorado",102413
"Kiowa County, Colorado",55573
"Kit Carson County, Colorado",56720
"Lake County, Colorado",71326
"La Plata County, Colorado",79358
"Larimer County, Colorado",88338
"Las Animas County, Colorado",49097
"Lincoln County, Colorado",54345
"Logan County, Colorado",58976
"Mesa County, Colorado",69578
"Mineral County, Colorado",69794
"Moffat County, Colorado",69088
"Montezuma County, Colorado",58345
"Montrose County, Colorado",65736
"Morgan County, Colorado",65599
"Otero County, Colorado",46607
"Ouray County, Colorado",90837
"Park County, Colorado",88020
"Phillips County, Colorado",68571
"Pitkin County, Colorado",111291
"Prowers County, Colorado",48832
"Pueblo County, Colorado",58314
"Rio Blanco County, Colorado",71630
"Rio Grande County, Colorado",56877
"Routt County, Colorado",104407
"Saguache County, Colorado",45048
"San Juan County, Colorado",62732
"San Miguel County, Colorado",94387
"Sedgwick County, Colorado",46980
"Summit County, Colorado",96984
"Teller County, Colorado",81466
"Washington County, Colorado",61492
"Weld County, Colorado",90770
"Yuma County, Colorado",56075
"Kent County, Delaware",71866
"New Castle County, Delaware",85427
"Sussex County, Delaware",81188
"Alachua County, Florida",58783
"Baker County, Florida",67375
"Bay County, Florida",65521
"Bradford County, Florida",57664
"Brevard County, Florida",74899
"Broward County, Florida",70834
"Calhoun County, Florida",46766
"Charlotte County, Florida",65040
"Citrus County, Florida",52534
"Clay County, Florida",84364
"Collier County, Florida",81821
"Columbia County, Florida",54060
"DeSoto County, Florida",47097
"Dixie County, Florida",40587
"Duval County, Florida",70203
"Escambia County, Florida",61634
"Flagler County, Florida",73336
"Franklin County, Florida",52180
"Gadsden County, Florida",45628
"Gilchrist County, Florida",58178
"Glades County, Florida",50559
"Gulf County, Florida",55909
"Hamilton County, Florida",45484
"Hardee County, Florida",48572
"Hendry County, Florida",55308
"Hernando County, Florida",60582
"Highlands County, Florida",51954
"Hillsborough County, Florida",74091
"Holmes County, Florida",50118
"Indian River County, Florida",69462
"Jackson County, Florida",50625
"Jefferson County, Florida",56900
"Lafayette County, Florida",50775
"Lake County, Florida",67637
"Lee County, Florida",71607
"Leon County, Florida",61560
"Levy County, Florida",55147
"Liberty County, Florida",49514
"Madison County, Florida",46141
"Manatee County, Florida",72176
"Marion County, Florida",54517
"Martin County, Florida",80678
"Miami-Dade County, Florida",66952
"Monroe County, Florida",79459
"Nassau County, Florida",90808
"Okaloosa County, Florida",76663
"Okeechobee County, Florida",50176
"Orange County, Florida",72129
"Osceola County, Florida",63782
"Palm Beach County, Florida",76713
"Pasco County, Florida",65933
"Pinellas County, Florida",66427
"Polk County, Florida",61941
"Putnam County, Florida",46459
"St. Johns County, Florida",103757
"St. Lucie County, Florida",64038
"Santa Rosa County, Florida",82537
"Sarasota County, Florida",78309
"Seminole County, Florida",80296
"Sumter County, Florida",77851
"Suwannee County, Florida",51295
"Taylor County, Florida",48482
"Union County, Florida",60749
"Volusia County, Florida",64601
"Wakulla County, Florida",63482
"Walton County, Florida",78814
"Washington County, Florida",49233
"Appling County, Georgia",51217
"Atkinson County, Georgia",46060
"Bacon County, Georgia",46044
"Baker County, Georgia",50129
"Baldwin County, Georgia",49883
"Banks County, Georgia",66928
"Barrow County, Georgia",77583
"Bartow County, Georgia",80017
"Ben Hill County, Georgia",41141
"Berrien County, Georgia",48725
"Bibb County, Georgia",48539
"Bleckley County, Georgia",56070
"Brantley County, Georgia",50370
"Brooks County, Georgia",43353
"Bryan County, Georgia",93057
"Bulloch County, Georgia",49471
"Burke County, Georgia",49431
"Butts County, Georgia",62231
"Calhoun County, Georgia",39681
"Camden County, Georgia",67628
"Candler County, Georgia",44493
"Carroll County, Georgia",69924
"Catoosa County, Georgia",66918
"Charlton County, Georgia",48147
"Chatham County, Georgia",64029
"Chattahoochee County, Georgia",57507
"Chattooga County, Georgia",50714
"Cherokee County, Georgia",99932
"Clarke County, Georgia",49832
"Clay County, Georgia",37961
"Clayton County, Georgia",57625
"Clinch County, Georgia",45595
"Cobb County, Georgia",96798
"Coffee County, Georgia",48792
"Colquitt County, Georgia",49214
"Columbia County, Georgia",94224
"Cook County, Georgia",44476
"Coweta County, Georgia",87618
"Crawford County, Georgia",60295
"Crisp County, Georgia",43884
"Dade County, Georgia",59708
"Dawson County, Georgia",84551
"Decatur County, Georgia",46455
"DeKalb County, Georgia",76736
"Dodge County, Georgia",43783
"Dooly County, Georgia",46191
"Dougherty County, Georgia",42629
"Douglas County, Georgia",79242
"Early County, Georgia",43417
"Echols County, Georgia",47195
"Effingham County, Georgia",88111
"Elbert County, Georgia",49220
"Emanuel County, Georgia",46975
"Evans County, Georgia",45163
"Fannin County, Georgia",60604
"Fayette County, Georgia",109358
"Floyd County, Georgia",56651
"Forsyth County, Georgia",130909
"Franklin County, Georgia",49940
"Fulton County, Georgia",89798
"Gilmer County, Georgia",68294
"Glascock County, Georgia",55539
"Glynn County, Georgia",63532
"Gordon County, Georgia",63946
"Grady County, Georgia",48548
"Greene County, Georgia",74488
"Gwinnett County, Georgia",83918
"Habersham County, Georgia",62428
"Hall County, Georgia",76789
"Hancock County, Georgia",38570
"Haralson County, Georgia",57912
"Harris County, Georgia",90636
"Hart County, Georgia",56137
"Heard County, Georgia",56724
"Henry County, Georgia",82379
