County,Median Household Income
"Lincoln County, Kansas",58049
"Linn County, Kansas",59651
"Logan County, Kansas",63204
"Lyon County, Kansas",55863
"McPherson County, Kansas",73766
"Marion County, Kansas",64337
"Marshall County, Kansas",58942
"Meade County, Kansas",68038
"Miami County, Kansas",82606
"Mitchell County, Kansas",63929
"Montgomery County, Kansas",54955
"Morris County, Kansas",60741
"Morton County, Kansas",62896
"Nemaha County, Kansas",72719
"Neosho County, Kansas",49322
"Ness County, Kansas",61539
"Norton County, Kansas",56604
"Osage County, Kansas",62995
"Osborne County, Kansas",53971
"Ottawa County, Kansas",69542
"Pawnee County, Kansas",47939
"Phillips County, Kansas",58834
"Pottawatomie County, Kansas",85822
"Pratt County, Kansas",65812
"Rawlins County, Kansas",59116
"Reno County, Kansas",57663
"Republic County, Kansas",53974
"Rice County, Kansas",61727
"Riley County, Kansas",55876
"Rooks County, Kansas",57029
"Rush County, Kansas",56629
"Russell County, Kansas",48754
"Saline County, Kansas",57563
"Scott County, Kansas",71121
"Sedgwick County, Kansas",64720
"Seward County, Kansas",63579
"Shawnee County, Kansas",61255
"Sheridan County, Kansas",62918
"Sherman County, Kansas",57044
"Smith County, Kansas",52101
"Stafford County, Kansas",58019
"Stanton County, Kansas",76137
"Stevens County, Kansas",69320
"Sumner County, Kansas",62921
"Thomas County, Kansas",62916
"Trego County, Kansas",54628
"Wabaunsee County, Kansas",68435
"Wallace County, Kansas",62309
"Washington County, Kansas",63797
"Wichita County, Kansas",68225
"Wilson County, Kansas",52064
"Woodson County, Kansas",49477
"Wyandotte County, Kansas",58701
"Adair County, Kentucky",44153
"Allen County, Kentucky",61655
"Anderson County, Kentucky",66846
"Ballard County, Kentucky",56605
"Barren County, Kentucky",50658
"Bath County, Kentucky",48260
"Bell County, Kentucky",33923
"Boone County, Kentucky",90265
"Bourbon County, Kentucky",56879
"Boyd County, Kentucky",55397
"Boyle County, Kentucky",57975
"Bracken County, Kentucky",58301
"Breathitt County, Kentucky",36300
"Breckinridge County, Kentucky",52400
"Bullitt County, Kentucky",77192
"Butler County, Kentucky",50824
"Caldwell County, Kentucky",51553
"Calloway County, Kentucky",51949
"Campbell County, Kentucky",74149
"Carlisle County, Kentucky",54535
"Carroll County, Kentucky",59226
"Carter County, Kentucky",48285
"Casey County, Kentucky",43539
"Christian County, Kentucky",56610
"Clark County, Kentucky",61641
"Clay County, Kentucky",34473
"Clinton County, Kentucky",41739
"Crittenden County, Kentucky",50452
"Cumberland County, Kentucky",48864
"Daviess County, Kentucky",65949
"Edmonson County, Kentucky",51402
"Elliott County, Kentucky",40312
"Estill County, Kentucky",39402
"Fayette County, Kentucky",63667
"Fleming County, Kentucky",50012
"Floyd County, Kentucky",37296
"Franklin County, Kentucky",58456
"Fulton County, Kentucky",40409
"Gallatin County, Kentucky",59175
"Garrard County, Kentucky",57748
"Grant County, Kentucky",66458
"Graves County, Kentucky",53408
"Grayson County, Kentucky",52130
"Green County, Kentucky",46169
"Greenup County, Kentucky",54462
"Hancock County, Kentucky",66300
"Hardin County, Kentucky",61920
"Harlan County, Kentucky",36022
"Harrison County, Kentucky",60962
"Hart County, Kentucky",47229
"Henderson County, Kentucky",55530
"Henry County, Kentucky",65068
"Hickman County, Kentucky",53838
"Hopkins County, Kentucky",52198
"Jackson County, Kentucky",41007
"Jefferson County, Kentucky",64719
"Jessamine County, Kentucky",69216
"Johnson County, Kentucky",42877
"Kenton County, Kentucky",77284
"Knott County, Kentucky",38456
"Knox County, Kentucky",36573
"Larue County, Kentucky",53939
"Laurel County, Kentucky",50721
"Lawrence County, Kentucky",42776
"Lee County, Kentucky",34632
"Leslie County, Kentucky",36666
"Letcher County, Kentucky",37854
"Lewis County, Kentucky",44098
"Lincoln County, Kentucky",49814
"Livingston County, Kentucky",55355
"Logan County, Kentucky",56823
"Lyon County, Kentucky",58938
"McCracken County, Kentucky",60026
"McCreary County, Kentucky",35443
"McLean County, Kentucky",55555
"Madison County, Kentucky",60994
"Magoffin County, Kentucky",35669
"Marion County, Kentucky",53676
"Marshall County, Kentucky",64395
"Martin County, Kentucky",34435
"Mason County, Kentucky",49029
"Meade County, Kentucky",69632
"Menifee County, Kentucky",43226
"Mercer County, Kentucky",65292
"Metcalfe County, Kentucky",44973
"Monroe County, Kentucky",45872
"Montgomery County, Kentucky",55924
"Morgan County, Kentucky",41863
"Muhlenberg County, Kentucky",48190
"Nelson County, Kentucky",66681
"Nicholas County, Kentucky",51100
"Ohio County, Kentucky",50275
"Oldham County, Kentucky",116173
"Owen County, Kentucky",60592
"Owsley County, Kentucky",32783
"Pendleton County, Kentucky",65727
"Perry County, Kentucky",43945
"Pike County, Kentucky",41837
"Powell County, Kentucky",42434
"Pulaski County, Kentucky",46380
"Robertson County, Kentucky",53456
"Rockcastle County, Kentucky",45161
"Rowan County, Kentucky",50498
"Russell County, Kentucky",44425
"Scott County, Kentucky",86169
"Shelby County, Kentucky",81815
"Simpson County, Kentucky",58550
"Spencer County, Kentucky",101552
"Taylor County, Kentucky",52414
"Todd County, Kentucky",53280
"Trigg County, Kentucky",56433
"Trimble County, Kentucky",65828
"Union County, Kentucky",58223
"Warren County, Kentucky",60651
"Washington County, Kentucky",59937
"Wayne County, Kentucky",39863
"Webster County, Kentucky",56052
"Whitley County, Kentucky",43604
"Wolfe County, Kentucky",37718
"Woodford County, Kentucky",76633
"Acadia Parish, Louisiana",42981
"Allen Parish, Louisiana",51423
"Ascension Parish, Louisiana",81284
"Assumption Parish, Louisiana",54403
"Avoyelles Parish, Louisiana",41587
"Beauregard Parish, Louisiana",64394
"Bienville Parish, Louisiana",41807
"Bossier Parish, Louisiana",63812
"Caddo Parish, Louisiana",47699
"Calcasieu Parish, Louisiana",61797
"Caldwell Parish, Louisiana",46464
"Cameron Parish, Louisiana",63413
"Catahoula Parish, Louisiana",41676
"Claiborne Parish, Louisiana",37788
"Concordia Parish, Louisiana",41101
"De Soto Parish, Louisiana",52776
"East Baton Rouge Parish, Louisiana",61376
"East Carroll Parish, Louisiana",30688
"East Feliciana Parish, Louisiana",56830
"Evangeline Parish, Louisiana",40933
"Franklin Parish, Louisiana",38584
"Grant Parish, Louisiana",52832
"Iberia Parish, Louisiana",45077
"Iberville Parish, Louisiana",53205
"Jackson Parish, Louisiana",43813
"Jefferson Parish, Louisiana",61157
"Jefferson Davis Parish, Louisiana",52414
"Lafayette Parish, Louisiana",58641
"Lafourche Parish, Louisiana",59575
"La Salle Parish, Louisiana",55633
"Lincoln Parish, Louisiana",44752
"Livingston Parish, Louisiana",72887
"Madison Parish, Louisiana",33403
"Morehouse Parish, Louisiana",39493
"Natchitoches Parish, Louisiana",42178
"Orleans Parish, Louisiana",51913
"Ouachita Parish, Louisiana",47283
"Plaquemines Parish, Louisiana",71876
"Pointe Coupee Parish, Louisiana",56457
"Rapides Parish, Louisiana",55870
"Red River Parish, Louisiana",44139
"Richland Parish, Louisiana",44470
"Sabine Parish, Louisiana",45072
"St. Bernard Parish, Louisiana",51485
"St. Charles Parish, Louisiana",75223
"St. Helena Parish, Louisiana",45024
"St. James Parish, Louisiana",67938
"St. John the Baptist Parish, Louisiana",60569
"St. Landry Parish, Louisiana",42765
"St. Martin Parish, Louisiana",54265
"St. Mary Parish, Louisiana",48242
"St. Tammany Parish, Louisiana",78629
"Tangipahoa Parish, Louisiana",54942
"Tensas Parish, Louisiana",33290
"Terrebonne Parish, Louisiana",57376
"Union Parish, Louisiana",48003
"Vermilion Parish, Louisiana",50554
"Vernon Parish, Louisiana",52626
"Washington Parish, Louisiana",41779
"Webster Parish, Louisiana",43698
"West Baton Rouge Parish, Louisiana",71362
"West Carroll Parish, Louisiana",41380
"West Feliciana Parish, Louisiana",68266
"Winn Parish, Louisiana",45646
"Androscoggin County, Maine",62848
"Aroostook County, Maine",51562
"Cumberland County, Maine",88571
"Franklin County, Maine",52159
"Hancock County, Maine",63879
"Kennebec County, Maine",63191
"Knox County, Maine",65615
"Lincoln County, Maine",72657
"Oxford County, Maine",58842
"Penobscot County, Maine",60761
"Piscataquis County, Maine",52529
"Sagadahoc County, Maine",73587
"Somerset County, Maine",55093
"Waldo County, Maine",63619
"Washington County, Maine",55381
"York County, Maine",81315
"Allegany County, Maryland",50582
"Anne Arundel County, Maryland",112525
"Baltimore County, Maryland",86198
"Calvert County, Maryland",118110
"Caroline County, Maryland",65981
"Carroll County, Maryland",105096
"Cecil County, Maryland",84513
"Charles County, Maryland",112932
"Dorchester County, Maryland",54206
"Frederick County, Maryland",116796
"Garrett County, Maryland",59080
"Harford County, Maryland",100334
"Howard County, Maryland",133068
"Kent County, Maryland",69695
"Montgomery County, Maryland",118020
"Prince George's County, Maryland",93833
"Queen Anne's County, Maryland",109436
"St. Mary's County, Maryland",112154
"Somerset County, Maryland",53590
"Talbot County, Maryland",76583
"Washington County, Maryland",69271
"Wicomico County, Maryland",68851
"Worcester County, Maryland",75969
"Baltimore City, Maryland",54735
"Barnstable County, Massachusetts",89774
"Berkshire County, Massachusetts",71102
"Bristol County, Massachusetts",80702
"Dukes County, Massachusetts",89136
"Essex County, Massachusetts",92118
"Franklin County, Massachusetts",69929
"Hampden County, Massachusetts",64030
"Hampshire County, Massachusetts",81878
"Middlesex County, Massachusetts",118494
"Nantucket County, Massachusetts",107613
"Norfolk County, Massachusetts",115770
"Plymouth County, Massachusetts",102647
"Suffolk County, Massachusetts",84548
"Worcester County, Massachusetts",86078
"Alcona County, Michigan",53788
"Alger County, Michigan",59390
"Allegan County, Michigan",75893
"Alpena County, Michigan",54161
"Antrim County, Michigan",71945
"Arenac County, Michigan",53615
"Baraga County, Michigan",52491
"Barry County, Michigan",71173
"Bay County, Michigan",56388
"Benzie County, Michigan",65846
"Berrien County, Michigan",61790
"Branch County, Michigan",63634
"Calhoun County, Michigan",59652
"Cass County, Michigan",65703
"Charlevoix County, Michigan",71362
"Cheboygan County, Michigan",60849
"Chippewa County, Michigan",58924
"Clare County, Michigan",47973
"Clinton County, Michigan",80212
"Crawford County, Michigan",57600
"Delta County, Michigan",57019
"Dickinson County, Michigan",56349
"Eaton County, Michigan",71499
"Emmet County, Michigan",69805
"Genesee County, Michigan",57443
"Gladwin County, Michigan",55017
"Gogebic County, Michigan",50142
"Grand Traverse County, Michigan",74746
"Gratiot County, Michigan",58074
"Hillsdale County, Michigan",60070
"Houghton County, Michigan",55623
"Huron County, Michigan",50177
"Ingham County, Michigan",60571
"Ionia County, Michigan",74391
"Iosco County, Michigan",46129
"Iron County, Michigan",54149
"Isabella County, Michigan",54642
"Jackson County, Michigan",61299
"Kalamazoo County, Michigan",69689
"Kalkaska County, Michigan",59160
"Kent County, Michigan",76923
"Keweenaw County, Michigan",57103
"Lake County, Michigan",48545
"Lapeer County, Michigan",72737
"Leelanau County, Michigan",89007
"Lenawee County, Michigan",67486
"Livingston County, Michigan",101227
"Luce County, Michigan",49371
"Mackinac County, Michigan",56942
"Macomb County, Michigan",73927
"Manistee County, Michigan",55788
"Marquette County, Michigan",61598
"Mason County, Michigan",64014
"Mecosta County, Michigan",56096
"Menominee County, Michigan",50564
"Midland County, Michigan",77595
"Missaukee County, Michigan",59230
"Monroe County, Michigan",72166
"Montcalm County, Michigan",61590
"Montmorency County, Michigan",50680
"Muskegon County, Michigan",58303
"Newaygo County, Michigan",57992
"Oakland County, Michigan",90801
"Oceana County, Michigan",56853
"Ogemaw County, Michigan",53480
"Ontonagon County, Michigan",45694
"Osceola County, Michigan",54727
"Oscoda County, Michigan",46626
"Otsego County, Michigan",65915
"Ottawa County, Michigan",85968
"Presque Isle County, Michigan",56375
"Roscommon County, Michigan",49151
"Saginaw County, Michigan",54064
"St. Clair County, Michigan",64894
"St. Joseph County, Michigan",60489
"Sanilac County, Michigan",56079
"Schoolcraft County, Michigan",56707
"Shiawassee County, Michigan",61959
"Tuscola County, Michigan",61978
"Van Buren County, Michigan",61638
"Washtenaw County, Michigan",80941
"Wayne County, Michigan",55928
"Wexford County, Michigan",56379
"Aitkin County, Minnesota",59064
"Anoka County, Minnesota",92249
"Becker County, Minnesota",67448
"Beltrami County, Minnesota",59882
"Benton County, Minnesota",71493
"Big Stone County, Minnesota",57821
"Blue Earth County, Minnesota",68279
"Brown County, Minnesota",64093
"Carlton County, Minnesota",78478
"Carver County, Minnesota",117602
"Cass County, Minnesota",67121
"Chippewa County, Minnesota",61878
"Chisago County, Minnesota",98183
"Clay County, Minnesota",79357
"Clearwater County, Minnesota",64716
"Cook County, Minnesota",69279
"Cottonwood County, Minnesota",59981
"Crow Wing County, Minnesota",67373
"Dakota County, Minnesota",97727
"Dodge County, Minnesota",88994
"Douglas County, Minnesota",73521
"Faribault County, Minnesota",67302
"Fillmore County, Minnesota",72065
"Freeborn County, Minnesota",65632
"Goodhue County, Minnesota",82091
"Grant County, Minnesota",68381
"Hennepin County, Minnesota",89418
"Houston County, Minnesota",76170
"Hubbard County, Minnesota",67797
"Isanti County, Minnesota",83212
"Itasca County, Minnesota",66958
"Jackson County, Minnesota",66694
"Kanabec County, Minnesota",69588
"Kandiyohi County, Minnesota",72281
"Kittson County, Minnesota",65244
"Koochiching County, Minnesota",63035
"Lac qui Parle County, Minnesota",67556
"Lake County, Minnesota",73724
"Lake of the Woods County, Minnesota",62143
"Le Sueur County, Minnesota",86864
"Lincoln County, Minnesota",64860
"Lyon County, Minnesota",70958
"McLeod County, Minnesota",80874
"Mahnomen County, Minnesota",52926
"Marshall County, Minnesota",70606
"Martin County, Minnesota",61721
"Meeker County, Minnesota",76506
"Mille Lacs County, Minnesota",65294
"Morrison County, Minnesota",64588
"Mower County, Minnesota",68718
"Murray County, Minnesota",68665
"Nicollet County, Minnesota",78091
"Nobles County, Minnesota",65374
"Norman County, Minnesota",64319
"Olmsted County, Minnesota",88032
"Otter Tail County, Minnesota",65076
"Pennington County, Minnesota",76423
"Pine County, Minnesota",65139
"Pipestone County, Minnesota",65499
"Polk County, Minnesota",69538
"Pope County, Minnesota",68888
"Ramsey County, Minnesota",75041
"Red Lake County, Minnesota",74120
"Redwood County, Minnesota",66582
"Renville County, Minnesota",66568
"Rice County, Minnesota",77962
"Rock County, Minnesota",69835
"Roseau County, Minnesota",71794
"St. Louis County, Minnesota",63141
"Scott County, Minnesota",115687
"Sherburne County, Minnesota",97999
"Sibley County, Minnesota",75596
"Stearns County, Minnesota",72378
"Steele County, Minnesota",75474
"Stevens County, Minnesota",69171
"Swift County, Minnesota",67166
"Todd County, Minnesota",66300
"Traverse County, Minnesota",63913
"Wabasha County, Minnesota",78953
"Wadena County, Minnesota",57527
"Waseca County, Minnesota",71519
"Washington County, Minnesota",107649
"Watonwan County, Minnesota",61295
"Wilkin County, Minnesota",71924
"Winona County, Minnesota",65699
"Wright County, Minnesota",95259
"Yellow Medicine County, Minnesota",67543
"Adams County, Mississippi",39547
"Alcorn County, Mississippi",49627
"Amite County, Mississippi",45433
"Attala County, Mississippi",44404
"Benton County, Mississippi",43247
"Bolivar County, Mississippi",39984
"Calhoun County, Mississippi",44172
"Carroll County, Mississippi",49397
"Chickasaw County, Mississippi",43776
"Choctaw County, Mississippi",49225
"Claiborne County, Mississippi",35591
"Clarke County, Mississippi",46524
"Clay County, Mississippi",43451
"Coahoma County, Mississippi",36071
"Copiah County, Mississippi",43308
"Covington County, Mississippi",46630
"DeSoto County, Mississippi",79967
"Forrest County, Mississippi",51344
"Franklin County, Mississippi",47165
"George County, Mississippi",61956
"Greene County, Mississippi",52585
"Grenada County, Mississippi",46718
"Hancock County, Mississippi",59874
"Harrison County, Mississippi",55916
"Hinds County, Mississippi",47479
"Holmes County, Mississippi",31972
"Humphreys County, Mississippi",33148
"Issaquena County, Mississippi",36922
"Itawamba County, Mississippi",56484
"Jackson County, Mississippi",61515
"Jasper County, Mississippi",44810
"Jefferson County, Mississippi",33852
"Jefferson Davis County, Mississippi",36642
"Jones County, Mississippi",58000
"Kemper County, Mississippi",39856
"Lafayette County, Mississippi",61736
"Lamar County, Mississippi",62326
"Lauderdale County, Mississippi",49351
"Lawrence County, Mississippi",46407
"Leake County, Mississippi",46429
"Lee County, Mississippi",58266
"Leflore County, Mississippi",35520
"Lincoln County, Mississippi",48596
"Lowndes County, Mississippi",49344
"Madison County, Mississippi",80641
"Marion County, Mississippi",44129
"Marshall County, Mississippi",52162
"Monroe County, Mississippi",51754
"Montgomery County, Mississippi",42195
"Neshoba County, Mississippi",50331
"Newton County, Mississippi",47320
"Noxubee County, Mississippi",36608
"Oktibbeha County, Mississippi",47284
"Panola County, Mississippi",40595
"Pearl River County, Mississippi",55830
"Perry County, Mississippi",45071
"Pike County, Mississippi",40945
"Pontotoc County, Mississippi",51086
"Prentiss County, Mississippi",49217
"Quitman County, Mississippi",40255
"Rankin County, Mississippi",72906
"Scott County, Mississippi",45764
"Sharkey County, Mississippi",36375
"Simpson County, Mississippi",50994
"Smith County, Mississippi",51746
"Stone County, Mississippi",54283
"Sunflower County, Mississippi",38423
"Tallahatchie County, Mississippi",39009
"Tate County, Mississippi",58623
"Tippah County, Mississippi",52635
"Tishomingo County, Mississippi",51652
"Tunica County, Mississippi",37694
"Union County, Mississippi",56050
"Walthall County, Mississippi",40828
"Warren County, Mississippi",52117
"Washington County, Mississippi",39690
"Wayne County, Mississippi",43562
"Webster County, Mississippi",51249
"Wilkinson County, Mississippi",36798
"Winston County, Mississippi",50082
"Yalobusha County, Mississippi",45658
"Yazoo County, Mississippi",39620
"Adair County, Missouri",46433
"Andrew County, Missouri",72630
"Atchison County, Missouri",57883
"Audrain County, Missouri",56305
"Barry County, Missouri",49968
"Barton County, Missouri",49857
"Bates County, Missouri",57291
"Benton County, Missouri",51473
"Bollinger County, Missouri",53932
"Boone County, Missouri",63981
"Buchanan County, Missouri",56751
"Butler County, Missouri",44853
"Caldwell County, Missouri",56660
"Callaway County, Missouri",72398
"Camden County, Missouri",63703
"Cape Girardeau County, Missouri",64118
"Carroll County, Missouri",56818
"Carter County, Missouri",42907
"Cass County, Missouri",77805
"Cedar County, Missouri",45952
"Chariton County, Missouri",56633
"Christian County, Missouri",73616
"Clark County, Missouri",63249
"Clay County, Missouri",78930
"Clinton County, Missouri",68337
"Cole County, Missouri",70837
"Cooper County, Missouri",63247
"Crawford County, Missouri",52536
"Dade County, Missouri",49386
"Dallas County, Missouri",49830
"Daviess County, Missouri",53639
"DeKalb County, Missouri",66880
"Dent County, Missouri",52945
"Douglas County, Missouri",43694
"Dunklin County, Missouri",39688
"Franklin County, Missouri",65779
"Gasconade County, Missouri",59287
"Gentry County, Missouri",52653
"Greene County, Missouri",55751
"Grundy County, Missouri",48457
"Harrison County, Missouri",51910
"Henry County, Missouri",54177
"Hickory County, Missouri",43468
"Holt County, Missouri",51295
"Howard County, Missouri",53862
"Howell County, Missouri",44858
"Iron County, Missouri",44329
"Jackson County, Missouri",62509
"Jasper County, Missouri",53548
"Jefferson County, Missouri",78297
"Johnson County, Missouri",60086
"Knox County, Missouri",49552
"Laclede County, Missouri",53224
"Lafayette County, Missouri",70457
"Lawrence County, Missouri",58031
"Lewis County, Missouri",57053
"Lincoln County, Missouri",77913
"Linn County, Missouri",52831
"Livingston County, Missouri",56654
"McDonald County, Missouri",50100
"Macon County, Missouri",52847
"Madison County, Missouri",47068
"Maries County, Missouri",54815
"Marion County, Missouri",57635
"Mercer County, Missouri",49715
"Miller County, Missouri",61711
"Mississippi County, Missouri",42364
"Moniteau County, Missouri",64519
"Monroe County, Missouri",50276
"Montgomery County, Missouri",56538
"Morgan County, Missouri",51700
"New Madrid County, Missouri",48162
"Newton County, Missouri",57423
"Nodaway County, Missouri",57507
"Oregon County, Missouri",45273
"Osage County, Missouri",69094
"Ozark County, Missouri",44242
"Pemiscot County, Missouri",38456
"Perry County, Missouri",63127
"Pettis County, Missouri",58827
"Phelps County, Missouri",54740
"Pike County, Missouri",59081
"Platte County, Missouri",93925
"Polk County, Missouri",53693
"Pulaski County, Missouri",61718
"Putnam County, Missouri",49532
"Ralls County, Missouri",65016
"Randolph County, Missouri",48762
"Ray County, Missouri",70506
"Reynolds County, Missouri",44409
"Ripley County, Missouri",41587
"St. Charles County, Missouri",98925
"St. Clair County, Missouri",45174
"Ste. Genevieve County, Missouri",63786
"St. Francois County, Missouri",48574
"St. Louis County, Missouri",79609
"Saline County, Missouri",54623
"Schuyler County, Missouri",49508
"Scotland County, Missouri",54961
"Scott County, Missouri",57678
"Shannon County, Missouri",39671
"Shelby County, Missouri",54264
"Stoddard County, Missouri",53391
"Stone County, Missouri",56418
"Sullivan County, Missouri",52384
"Taney County, Missouri",53009
"Texas County, Missouri",46622
"Vernon County, Missouri",51900
"Warren County, Missouri",74355
"Washington County, Missouri",47636
"Wayne County, Missouri",41724
"Webster County, Missouri",59784
"Worth County, Missouri",48397
"Wright County, Missouri",45017
"St. Louis City, Missouri",52278
"Beaverhead County, Montana",57497
"Big Horn County, Montana",49113
"Blaine County, Montana",53577
"Broadwater County, Montana",67927
"Carbon County, Montana",67062
"Carter County, Montana",50597
"Cascade County, Montana",59184
"Chouteau County, Montana",51137
"Custer County, Montana",64743
"Daniels County, Montana",57141
"Dawson County, Montana",60763
"Deer Lodge County, Montana",52848
"Fallon County, Montana",65637
"Fergus County, Montana",60466
"Flathead County, Montana",66395
"Gallatin County, Montana",83520
"Garfield County, Montana",50762
"Glacier County, Montana",46270
"Golden Valley County, Montana",45622
"Granite County, Montana",58186
"Hill County, Montana",50518
"Jefferson County, Montana",83697
"Judith Basin County, Montana",60677
"Lake County, Montana",57225
"Lewis and Clark County, Montana",72491
"Liberty County, Montana",53601
"Lincoln County, Montana",48432
"McCone County, Montana",59086
"Madison County, Montana",72487
"Meagher County, Montana",53724
"Mineral County, Montana",55979
"Missoula County, Montana",68210
"Musselshell County, Montana",55291
"Park County, Montana",68594
"Petroleum County, Montana",48991
"Phillips County, Montana",56043
"Pondera County, Montana",51057
"Powder River County, Montana",54102
"Powell County, Montana",60350
"Prairie County, Montana",49838
"Ravalli County, Montana",65789
"Richland County, Montana",72974
"Roosevelt County, Montana",48712
"Rosebud County, Montana",64003
"Sanders County, Montana",47976
"Sheridan County, Montana",62982
"Silver Bow County, Montana",58898
"Stillwater County, Montana",81147
"Sweet Grass County, Montana",68006
"Teton County, Montana",57054
"Toole County, Montana",49850
"Treasure County, Montana",60454
"Valley County, Montana",79703
"Wheatland County, Montana",44002
"Wibaux County, Montana",56317
"Yellowstone County, Montana",78216
"Adams County, Nebraska",64212
"Antelope County, Nebraska",63250
"Arthur County, Nebraska",57018
"Banner County, Nebraska",66584
"Blaine County, Nebraska",54936
"Boone County, Nebraska",68533
"Box Butte County, Nebraska",66762
"Boyd County, Nebraska",54443
"Brown County, Nebraska",55394
"Buffalo County, Nebraska",67809
"Burt County, Nebraska",58125
"Butler County, Nebraska",76417
"Cass County, Nebraska",93195
"Cedar County, Nebraska",69033
"Chase County, Nebraska",64985
"Cherry County, Nebraska",58017
"Cheyenne County, Nebraska",56604
"Clay County, Nebraska",64251
"Colfax County, Nebraska",69549
"Cuming County, Nebraska",65809
"Custer County, Nebraska",60328
"Dakota County, Nebraska",65986
"Dawes County, Nebraska",52621
"Dawson County, Nebraska",62089
"Deuel County, Nebraska",56099
"Dixon County, Nebraska",61144
"Dodge County, Nebraska",68267
"Douglas County, Nebraska",74424
"Dundy County, Nebraska",58441
"Fillmore County, Nebraska",68532
"Franklin County, Nebraska",59400
"Frontier County, Nebraska",58241
"Furnas County, Nebraska",54213
"Gage County, Nebraska",64406
"Garden County, Nebraska",51734
"Garfield County, Nebraska",51530
"Gosper County, Nebraska",67697
"Grant County, Nebraska",63469
"Greeley County, Nebraska",58561
"Hall County, Nebraska",66277
"Hamilton County, Nebraska",75369
"Harlan County, Nebraska",62104
"Hayes County, Nebraska",60141
"Hitchcock County, Nebraska",54488
"Holt County, Nebraska",60502
"Hooker County, Nebraska",53537
"Howard County, Nebraska",69423
"Jefferson County, Nebraska",59478
"Johnson County, Nebraska",60549
"Kearney County, Nebraska",74686
"Keith County, Nebraska",60608
"Keya Paha County, Nebraska",51579
"Kimball County, Nebraska",55797
"Knox County, Nebraska",54880
"Lancaster County, Nebraska",68358
"Lincoln County, Nebraska",62442
"Logan County, Nebraska",68723
"Loup County, Nebraska",60487
"McPherson County, Nebraska",52774
"Madison County, Nebraska",63482
"Merrick County, Nebraska",68754
"Morrill County, Nebraska",58889
"Nance County, Nebraska",62863
"Nemaha County, Nebraska",61933
"Nuckolls County, Nebraska",57278
"Otoe County, Nebraska",70433
"Pawnee County, Nebraska",55584
"Perkins County, Nebraska",67296
"Phelps County, Nebraska",66287
"Pierce County, Nebraska",70906
"Platte County, Nebraska",67132
"Polk County, Nebraska",70813
"Red Willow County, Nebraska",60108
"Richardson County, Nebraska",56121
"Rock County, Nebraska",55648
"Saline County, Nebraska",72948
"Sarpy County, Nebraska",98619
"Saunders County, Nebraska",86179
"Scotts Bluff County, Nebraska",56853
"Seward County, Nebraska",77778
"Sheridan County, Nebraska",55388
"Sherman County, Nebraska",58456
"Sioux County, Nebraska",60806
"Stanton County, Nebraska",75068
"Thayer County, Nebraska",61125
"Thomas County, Nebraska",58818
"Thurston County, Nebraska",57129
"Valley County, Nebraska",55050
"Washington County, Nebraska",87368
"Wayne County, Nebraska",65664
"Webster County, Nebraska",62679
"Wheeler County, Nebraska",55951
"York County, Nebraska",68440
"Churchill County, Nevada",70149
"Clark County, Nevada",70838
"Douglas County, Nevada",91960
"Elko County, Nevada",88757
"Esmeralda County, Nevada",57501
"Eureka County, Nevada",80291
"Humboldt County, Nevada",80255
"Lander County, Nevada",90190
"Lincoln County, Nevada",63978
"Lyon County, Nevada",74741
"Mineral County, Nevada",55704
"Nye County, Nevada",51933
"Pershing County, Nevada",65315
"Storey County, Nevada",90171
"Washoe County, Nevada",80245
"White Pine County, Nevada",67639
"Carson City, Nevada",62859
"Belknap County, New Hampshire",77531
"Carroll County, New Hampshire",71981
"Cheshire County, New Hampshire",76227
"Coos County, New Hampshire",52292
"Grafton County, New Hampshire",81205
"Hillsborough County, New Hampshire",96415
"Merrimack County, New Hampshire",84898
"Rockingham County, New Hampshire",107445
"Strafford County, New Hampshire",82845
"Sullivan County, New Hampshire",74700
"Atlantic County, New Jersey",76108
"Bergen County, New Jersey",113885
"Burlington County, New Jersey",100188
"Camden County, New Jersey",81372
"Cape May County, New Jersey",80845
"Cumberland County, New Jersey",60892
"Essex County, New Jersey",74747
"Gloucester County, New Jersey",97851
"Hudson County, New Jersey",82361
"Hunterdon County, New Jersey",137334
"Mercer County, New Jersey",94832
"Middlesex County, New Jersey",102073
"Monmouth County, New Jersey",117699
"Morris County, New Jersey",131562
"Ocean County, New Jersey",81152
"Passaic County, New Jersey",78779
"Salem County, New Jersey",76005
"Somerset County, New Jersey",134735
"Sussex County, New Jersey",111308
"Union County, New Jersey",96483
"Warren County, New Jersey",97729
"Bernalillo County, New Mexico",65034
"Catron County, New Mexico",44247
"Chaves County, New Mexico",47855
"Cibola County, New Mexico",45674
"Colfax County, New Mexico",49966
"Curry County, New Mexico",52463
"DeBaca County, New Mexico",45208
"Dona Ana County, New Mexico",52011
"Eddy County, New Mexico",65063
"Grant County, New Mexico",47099
"Guadalupe County, New Mexico",43862
"Harding County, New Mexico",45217
"Hidalgo County, New Mexico",43610
"Lea County, New Mexico",59194
"Lincoln County, New Mexico",54344
"Los Alamos County, New Mexico",139217
"Luna County, New Mexico",38796
"McKinley County, New Mexico",43720
"Mora County, New Mexico",45155
"Otero County, New Mexico",52787
"Quay County, New Mexico",39885
"Rio Arriba County, New Mexico",56353
"Roosevelt County, New Mexico",47854
"Sandoval County, New Mexico",82862
"San Juan County, New Mexico",51898
"San Miguel County, New Mexico",47675
"Santa Fe County, New Mexico",72836
