,County,Overall Score,Rent vs. Mortgage Score,Demand Score,Affordability Score,Poverty Score,Rent vs. Mortgage,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Total Housing Units built after 2020,Demand Ratio,Affordability Ratio,Poverty Percent,Latitude,Longitude
79,"Frederick County, Maryland",18,5,2,2,9,102.0,28.19718309859155,100100.0,455100.0,116796.0,7.553540137690334,20605,3775,5.458278145695364,30.93933774834437,5.6,39.4608481,-77.4118135
75,"Wagoner County, Oklahoma",18,5,2,3,8,109.0,39.11269287395231,67478.0,240000.0,73851.0,9.702152757298734,7896,1504,5.25,49.1030585106383,9.2,35.9542216,-95.5636238
106,"Walton County, Georgia",18,3,3,5,7,-68.0,55.660377358490564,118000.0,330000.0,83037.0,9.82317462277939,9544,1038,9.19460500963391,79.9971098265896,11.3,33.762884,-83.740416
80,"Dallas County, Iowa",18,5,1,2,10,86.0,18.518518518518505,50000.0,320000.0,109138.0,10.499721492798614,10556,3285,3.2133942161339424,33.223135464231355,4.9,41.6744179,-94.0394437
3,"Pinal County, Arizona",18,9,1,1,7,535.0,57.02479338842977,138000.0,380000.0,76232.0,12.56476834492905,54052,11656,4.637268359643103,6.540150995195607,11.4,32.8162,-111.2845
9,"Volusia County, Florida",18,9,1,1,7,463.0,47.05882352941177,88000.0,275000.0,64601.0,6.222111066328878,34581,8870,3.8986471251409243,7.283089064261556,11.8,29.0533409,-81.1310761
43,"Collin County, Texas",18,6,1,1,10,223.0,35.070903675638334,102561.0,395000.0,113943.0,11.120107535677889,119623,29214,4.094714862737044,3.9002875333744096,4.8,33.1609629,-96.6060984
52,"Chester County, Pennsylvania",18,6,1,2,9,174.0,29.6875,95000.0,415000.0,117326.0,2.796028644616058,14954,4650,3.2159139784946236,25.231397849462365,5.6,39.9829308,-75.7652424
27,"Lake County, Florida",18,7,2,1,8,325.0,37.33535337061534,86991.0,319990.0,67637.0,9.902748720923,38246,6892,5.549332559489263,9.813842135809635,9.7,28.7006859,-81.78994
34,"Fort Bend County, Texas",18,7,1,1,9,279.0,26.582278481012665,63000.0,300000.0,105583.0,10.573881118164195,87669,19160,4.57562630480167,5.510594989561587,7.9,29.511218,-95.7807348
15,"Brunswick County, North Carolina",18,8,1,1,8,422.0,43.91387559808612,100958.0,330858.0,73536.0,15.774998552486835,21796,7238,3.0113290964354795,10.159712627797735,8.5,34.0718195,-78.1914215
30,"Cherokee County, Georgia",18,7,1,1,9,319.0,48.52535539995756,114350.0,350000.0,99932.0,6.878831724816891,18446,5913,3.119567055640115,16.900388973448333,5.6,34.2391265,-84.4720272
59,"Hamilton County, Indiana",17,5,1,1,10,149.0,44.44444444444443,100000.0,325000.0,117068.0,6.48975919494778,22649,7086,3.1963025684448207,16.52102737792831,4.5,40.0749813,-86.0498885
71,"Canadian County, Oklahoma",17,5,2,2,8,121.0,30.000787883562936,49501.0,214500.0,81761.0,13.121324806670358,20395,3740,5.4532085561497325,21.861229946524062,8.7,35.5438102,-98.0031532
102,"Lincoln County, North Carolina",17,3,2,4,8,-45.0,53.63073110285006,108200.0,309950.0,78615.0,9.693877551020407,8455,1423,5.941672522839072,55.245959241040055,9.0,35.4866424,-81.2062724
14,"Palm Beach County, Florida",17,8,1,1,7,430.0,35.60035842293908,99325.0,378325.0,76713.0,2.6446815259770347,39519,11106,3.5583468395461915,6.907347379794706,11.1,26.6279798,-80.4494174
95,"Delaware County, Ohio",17,4,1,2,10,22.0,35.60000000000002,97900.0,372900.0,121528.0,7.65455508769972,16470,4174,3.945855294681361,29.115476760900815,4.6,40.2317686,-82.9651045
35,"Canyon County, Idaho",17,7,2,1,7,261.0,71.5481171548117,171000.0,410000.0,70594.0,10.583529674310029,24661,4852,5.082646331409728,14.549464138499587,10.5,43.6435692,-116.7017144
29,"Mecklenburg County, North Carolina",17,7,1,1,8,321.0,51.8987341772152,123000.0,360000.0,80645.0,4.141493418338456,46278,17506,2.6435507825888265,4.606706272135268,10.3,35.2356385,-80.8139485
93,"Limestone County, Alabama",17,4,2,3,8,31.0,55.367231638418076,98000.0,275000.0,83159.0,10.02946172375077,10451,2052,5.09307992202729,40.52582846003899,9.9,34.8342463,-86.9901321
17,"Orange County, Florida",17,8,1,1,7,392.0,37.021276595744666,87000.0,322000.0,72129.0,2.775552340992647,39737,18678,2.1274761751793556,3.861708962415676,12.6,28.495156,-81.3111658
74,"Douglas County, Colorado",17,5,1,1,10,115.0,38.577976761539276,162855.0,585000.0,140768.0,6.544961048836726,23583,7914,2.9799090219863533,17.787212534748548,3.1,39.3420437,-104.9468945
112,"Tooele County, Utah",17,2,2,4,9,-180.0,63.02334197851056,170100.0,440000.0,91353.0,11.854679299297928,8696,1604,5.4214463840399,56.95324189526185,6.5,40.4062872,-113.1966394
18,"Maricopa County, Arizona",17,8,1,1,7,382.0,56.312625250501014,140500.0,390000.0,83668.0,3.1678319680346334,140812,51294,2.7451943697118573,1.6311459429952821,10.9,33.2918,-112.4291
