County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Indian River County, Florida",1608,643,965,1261,296
"Lake County, Florida",1584,508,1076,1401,325
"Lee County, Florida",1678,689,989,1620,631
"Leon County, Florida",1620,527,1093,1150,57
"Manatee County, Florida",1874,605,1269,1515,246
"Marion County, Florida",1297,469,828,1078,250
"Martin County, Florida",1919,717,1202,1652,450
"Miami-Dade County, Florida",2233,739,1494,1665,171
"Monroe County, Florida",2888,685,2203,1728,-475
"Nassau County, Florida",1635,603,1032,1499,467
"Okaloosa County, Florida",1727,567,1160,1448,288
"Orange County, Florida",1848,616,1232,1624,392
"Osceola County, Florida",1670,568,1102,1645,543
"Palm Beach County, Florida",2142,823,1319,1749,430
"Pasco County, Florida",1608,472,1136,1377,241
"Pinellas County, Florida",1724,669,1055,1479,424
"Polk County, Florida",1539,465,1074,1206,132
"Putnam County, Florida",1197,329,868,863,-5
"St. Johns County, Florida",2067,628,1439,1674,235
"St. Lucie County, Florida",1732,655,1077,1339,262
"Santa Rosa County, Florida",1761,501,1260,1428,168
"Sarasota County, Florida",1747,680,1067,1688,621
"Seminole County, Florida",1844,628,1216,1638,422
"Sumter County, Florida",1502,529,973,1420,447
"Volusia County, Florida",1503,553,950,1413,463
"Walton County, Florida",1881,467,1414,1462,48
"Barrow County, Georgia",1457,486,971,1075,104
"Bartow County, Georgia",1623,520,1103,1121,18
"Bibb County, Georgia",1256,498,758,983,225
"Bulloch County, Georgia",1261,394,867,889,22
"Carroll County, Georgia",1339,452,887,1080,193
"Catoosa County, Georgia",1230,358,872,1023,151
"Chatham County, Georgia",1592,551,1041,1359,318
"Cherokee County, Georgia",1830,556,1274,1593,319
"Clarke County, Georgia",1495,562,933,1082,149
"Clayton County, Georgia",1327,460,867,1327,460
"Cobb County, Georgia",1854,533,1321,1641,320
"Columbia County, Georgia",1706,479,1227,1233,6
"Coweta County, Georgia",1726,545,1181,1360,179
"DeKalb County, Georgia",1841,637,1204,1584,380
"Dougherty County, Georgia",1194,415,779,898,119
"Douglas County, Georgia",1541,482,1059,1437,378
"Effingham County, Georgia",1513,553,960,1027,67
"Fayette County, Georgia",2124,586,1538,1773,235
"Floyd County, Georgia",1310,465,845,962,117
"Forsyth County, Georgia",2238,600,1638,1808,170
"Fulton County, Georgia",2139,735,1404,1621,217
"Glynn County, Georgia",1402,435,967,1074,107
"Gwinnett County, Georgia",1796,616,1180,1681,501
"Hall County, Georgia",1574,491,1083,1261,178
"Henry County, Georgia",1593,487,1106,1560,454
"Houston County, Georgia",1418,398,1020,1075,55
"Jackson County, Georgia",1652,534,1118,1068,-50
"Liberty County, Georgia",1274,444,830,1166,336
"Lowndes County, Georgia",1309,446,863,995,132
"Muscogee County, Georgia",1347,441,906,1043,137
"Newton County, Georgia",1533,484,1049,1239,190
"Paulding County, Georgia",1588,447,1141,1439,298
"Richmond County, Georgia",1160,427,733,986,253
"Rockdale County, Georgia",1566,465,1101,1393,292
"Spalding County, Georgia",1319,550,769,1064,295
"Troup County, Georgia",1363,529,834,1035,201
"Walker County, Georgia",1161,421,740,915,175
"Walton County, Georgia",1715,522,1193,1125,-68
"Whitfield County, Georgia",1273,391,882,862,-20
"Hawaii County, Hawaii",1999,389,1610,1292,-318
"Honolulu County, Hawaii",2842,723,2119,1914,-205
"Kauai County, Hawaii",2667,627,2040,1847,-193
"Maui County, Hawaii",2717,530,2187,1662,-525
"Ada County, Idaho",1745,488,1257,1499,242
"Bannock County, Idaho",1308,434,874,888,14
"Bonneville County, Idaho",1392,417,975,1065,90
"Canyon County, Idaho",1430,417,1013,1274,261
"Kootenai County, Idaho",1633,490,1143,1473,330
"Twin Falls County, Idaho",1340,475,865,1053,188
"Champaign County, Illinois",1553,658,895,964,69
"Cook County, Illinois",2031,851,1180,1312,132
"DeKalb County, Illinois",1724,782,942,910,-32
"DuPage County, Illinois",2224,984,1240,1489,249
"Kane County, Illinois",2043,881,1162,1270,108
"Kankakee County, Illinois",1568,670,898,1021,123
"Kendall County, Illinois",2133,951,1182,1502,320
"Lake County, Illinois",2296,1009,1287,1399,112
"LaSalle County, Illinois",1335,577,758,902,144
"McHenry County, Illinois",1951,901,1050,1206,156
"McLean County, Illinois",1480,692,788,954,166
"Macon County, Illinois",1168,481,687,774,87
"Madison County, Illinois",1400,596,804,893,89
"Peoria County, Illinois",1380,642,738,903,165
"Rock Island County, Illinois",1222,593,629,795,166
"St. Clair County, Illinois",1485,589,896,989,93
"Sangamon County, Illinois",1403,588,815,881,66
"Tazewell County, Illinois",1290,633,657,875,218
"Vermilion County, Illinois",1096,445,651,743,92
"Will County, Illinois",2034,888,1146,1352,206
"Williamson County, Illinois",1274,492,782,785,3
"Winnebago County, Illinois",1313,593,720,943,223
"Allen County, Indiana",1191,447,744,984,240
"Bartholomew County, Indiana",1335,463,872,993,121
"Boone County, Indiana",1771,659,1112,1171,59
"Clark County, Indiana",1270,501,769,1061,292
