County,Costs with Mortgage,Cost without Mortgage,Average Mortgage Cost,Average Rent Cost,Rent vs. Mortgage
"Delaware County, Ohio",2305,957,1348,1370,22
"Erie County, Ohio",1184,527,657,818,161
"Fairfield County, Ohio",1499,609,890,1047,157
"Franklin County, Ohio",1635,693,942,1212,270
"Geauga County, Ohio",1795,702,1093,1092,-1
"Greene County, Ohio",1578,666,912,1036,124
"Hamilton County, Ohio",1504,652,852,979,127
"Hancock County, Ohio",1261,520,741,948,207
"Lake County, Ohio",1430,570,860,988,128
"Licking County, Ohio",1588,603,985,940,-45
"Lorain County, Ohio",1435,577,858,866,8
"Lucas County, Ohio",1263,534,729,881,152
"Mahoning County, Ohio",1133,448,685,728,43
"Marion County, Ohio",1076,410,666,769,103
"Medina County, Ohio",1573,587,986,1032,46
"Miami County, Ohio",1340,493,847,875,28
"Montgomery County, Ohio",1336,568,768,940,172
"Muskingum County, Ohio",1213,446,767,794,27
"Portage County, Ohio",1433,565,868,965,97
"Richland County, Ohio",1127,442,685,774,89
"Ross County, Ohio",1117,473,644,800,156
"Scioto County, Ohio",1210,454,756,673,-83
"Stark County, Ohio",1250,475,775,841,66
"Summit County, Ohio",1366,538,828,943,115
"Trumbull County, Ohio",1030,457,573,714,141
"Tuscarawas County, Ohio",1118,479,639,799,160
"Union County, Ohio",1814,665,1149,1067,-82
"Warren County, Ohio",1786,598,1188,1240,52
"Wayne County, Ohio",1247,507,740,801,61
"Wood County, Ohio",1471,588,883,898,15
"Canadian County, Oklahoma",1609,586,1023,1144,121
"Cleveland County, Oklahoma",1548,575,973,1091,118
"Comanche County, Oklahoma",1203,483,720,922,202
"Creek County, Oklahoma",1274,422,852,870,18
"Muskogee County, Oklahoma",1125,402,723,816,93
"Oklahoma County, Oklahoma",1561,562,999,1011,12
"Payne County, Oklahoma",1636,496,1140,957,-183
"Pottawatomie County, Oklahoma",1253,397,856,831,-25
"Rogers County, Oklahoma",1435,524,911,948,37
"Tulsa County, Oklahoma",1486,549,937,1005,68
"Wagoner County, Oklahoma",1484,521,963,1072,109
"Benton County, Oregon",2024,698,1326,1272,-54
"Clackamas County, Oregon",2377,770,1607,1606,-1
"Deschutes County, Oregon",2024,625,1399,1540,141
"Douglas County, Oregon",1550,459,1091,910,-181
"Jackson County, Oregon",1722,569,1153,1234,81
"Josephine County, Oregon",1600,428,1172,1135,-37
"Klamath County, Oregon",1322,410,912,839,-73
"Lane County, Oregon",1759,575,1184,1245,61
"Linn County, Oregon",1610,524,1086,1134,48
"Marion County, Oregon",1766,600,1166,1275,109
"Multnomah County, Oregon",2249,820,1429,1466,37
"Polk County, Oregon",1872,567,1305,1294,-11
"Umatilla County, Oregon",1440,534,906,986,80
"Washington County, Oregon",2257,745,1512,1697,185
"Yamhill County, Oregon",1968,627,1341,1329,-12
"Adams County, Pennsylvania",1572,600,972,1029,57
"Allegheny County, Pennsylvania",1528,599,929,1061,132
"Armstrong County, Pennsylvania",1131,442,689,755,66
"Beaver County, Pennsylvania",1303,553,750,884,134
"Berks County, Pennsylvania",1622,663,959,1109,150
"Blair County, Pennsylvania",1143,502,641,796,155
"Bucks County, Pennsylvania",2254,860,1394,1508,114
"Butler County, Pennsylvania",1729,554,1175,961,-214
"Cambria County, Pennsylvania",1086,471,615,691,76
"Carbon County, Pennsylvania",1375,579,796,954,158
"Centre County, Pennsylvania",1632,601,1031,1128,97
"Chester County, Pennsylvania",2363,912,1451,1625,174
"Clearfield County, Pennsylvania",1119,469,650,647,-3
"Crawford County, Pennsylvania",1103,442,661,759,98
"Cumberland County, Pennsylvania",1628,642,986,1142,156
"Dauphin County, Pennsylvania",1465,599,866,1083,217
"Delaware County, Pennsylvania",1959,846,1113,1246,133
"Erie County, Pennsylvania",1261,524,737,812,75
"Fayette County, Pennsylvania",1146,474,672,699,27
"Franklin County, Pennsylvania",1516,530,986,924,-62
"Indiana County, Pennsylvania",1244,469,775,724,-51
"Lackawanna County, Pennsylvania",1437,628,809,940,131
"Lancaster County, Pennsylvania",1642,664,978,1240,262
"Lawrence County, Pennsylvania",1212,532,680,804,124
"Lebanon County, Pennsylvania",1460,574,886,1021,135
"Lehigh County, Pennsylvania",1706,735,971,1238,267
"Luzerne County, Pennsylvania",1339,567,772,954,182
"Lycoming County, Pennsylvania",1386,544,842,823,-19
"Mercer County, Pennsylvania",1140,485,655,749,94
"Monroe County, Pennsylvania",1732,736,996,1196,200
"Montgomery County, Pennsylvania",2201,863,1338,1560,222
"Northampton County, Pennsylvania",1718,715,1003,1278,275
"Northumberland County, Pennsylvania",1257,523,734,697,-37
"Philadelphia County, Pennsylvania",1491,507,984,1281,297
"Schuylkill County, Pennsylvania",1249,539,710,774,64
"Somerset County, Pennsylvania",1164,464,700,691,-9
"Washington County, Pennsylvania",1544,545,999,840,-159
"Westmoreland County, Pennsylvania",1314,544,770,821,51
"York County, Pennsylvania",1604,651,953,1088,135
"Kent County, Rhode Island",1937,814,1123,1179,56
"Newport County, Rhode Island",2430,1015,1415,1430,15
"Providence County, Rhode Island",1933,827,1106,1246,140
"Washington County, Rhode Island",2174,859,1315,1305,-10
"Aiken County, South Carolina",1289,386,903,988,85
"Anderson County, South Carolina",1247,379,868,865,-3
"Beaufort County, South Carolina",1752,576,1176,1456,280
"Berkeley County, South Carolina",1482,447,1035,1553,518
"Charleston County, South Carolina",2012,611,1401,1440,39
"Dorchester County, South Carolina",1603,523,1080,1293,213
"Florence County, South Carolina",1252,394,858,792,-66
"Greenville County, South Carolina",1378,420,958,1155,197
"Greenwood County, South Carolina",1142,343,799,824,25
"Horry County, South Carolina",1271,430,841,1181,340
"Kershaw County, South Carolina",1285,371,914,947,33
"Lancaster County, South Carolina",1422,346,1076,765,-311
"Laurens County, South Carolina",1079,344,735,720,-15
"Lexington County, South Carolina",1290,363,927,1052,125
"Oconee County, South Carolina",1268,371,897,697,-200
"Orangeburg County, South Carolina",1099,379,720,756,36
"Pickens County, South Carolina",1254,362,892,873,-19
"Richland County, South Carolina",1368,449,919,1168,249
"Spartanburg County, South Carolina",1215,387,828,997,169
"Sumter County, South Carolina",1193,358,835,1127,292
"York County, South Carolina",1614,398,1216,1320,104
"Lincoln County, South Dakota",1699,773,926,1131,205
"Minnehaha County, South Dakota",1579,573,1006,936,-70
"Pennington County, South Dakota",1672,601,1071,1011,-60
"Anderson County, Tennessee",1320,491,829,933,104
"Blount County, Tennessee",1273,413,860,889,29
"Bradley County, Tennessee",1249,391,858,952,94
"Davidson County, Tennessee",1768,581,1187,1463,276
"Greene County, Tennessee",1015,355,660,623,-37
"Hamblen County, Tennessee",1147,383,764,720,-44
"Hamilton County, Tennessee",1461,475,986,1184,198
"Knox County, Tennessee",1434,460,974,1132,158
"Madison County, Tennessee",1219,491,728,1024,296
"Maury County, Tennessee",1436,451,985,1142,157
"Montgomery County, Tennessee",1446,463,983,1243,260
"Putnam County, Tennessee",1370,452,918,840,-78
"Robertson County, Tennessee",1514,467,1047,1235,188
"Rutherford County, Tennessee",1599,445,1154,1336,182
"Sevier County, Tennessee",1282,367,915,1060,145
"Shelby County, Tennessee",1599,575,1024,1141,117
"Sullivan County, Tennessee",1116,396,720,833,113
"Sumner County, Tennessee",1762,522,1240,1366,126
"Washington County, Tennessee",1330,416,914,922,8
"Williamson County, Tennessee",2355,672,1683,1883,200
"Wilson County, Tennessee",1800,493,1307,1354,47
"Angelina County, Texas",1464,516,948,1009,61
"Bastrop County, Texas",1763,647,1116,1091,-25
"Bell County, Texas",1555,544,1011,1137,126
"Bexar County, Texas",1801,617,1184,1254,70
"Bowie County, Texas",1469,490,979,889,-90
"Brazoria County, Texas",2086,662,1424,1282,-142
"Brazos County, Texas",1722,676,1046,1095,49
"Cameron County, Texas",1310,456,854,888,34
"Collin County, Texas",2514,1000,1514,1737,223
"Comal County, Texas",2179,719,1460,1525,65
"Coryell County, Texas",1363,474,889,1106,217
"Dallas County, Texas",1995,729,1266,1432,166
"Denton County, Texas",2422,960,1462,1586,124
"Ector County, Texas",1757,517,1240,1115,-125
"Ellis County, Texas",1959,741,1218,1447,229
"El Paso County, Texas",1457,529,928,986,58
"Fort Bend County, Texas",2334,916,1418,1697,279
"Galveston County, Texas",2105,665,1440,1320,-120
"Grayson County, Texas",1620,567,1053,1242,189
"Gregg County, Texas",1409,529,880,1072,192
"Guadalupe County, Texas",1702,543,1159,1658,499
"Harris County, Texas",1922,670,1252,1288,36
"Harrison County, Texas",1475,463,1012,898,-114
"Hays County, Texas",2118,780,1338,1310,-28
"Henderson County, Texas",1523,493,1030,1058,28
"Hidalgo County, Texas",1349,440,909,886,-23
"Hood County, Texas",1799,585,1214,1429,215
"Hunt County, Texas",1693,537,1156,1219,63
"Jefferson County, Texas",1618,519,1099,1005,-94
"Johnson County, Texas",1818,649,1169,1307,138
"Kaufman County, Texas",2050,728,1322,1534,212
"Liberty County, Texas",1421,521,900,921,21
"Lubbock County, Texas",1676,630,1046,1103,57
"McLennan County, Texas",1624,601,1023,1172,149
"Midland County, Texas",1947,643,1304,1249,-55
"Montgomery County, Texas",2064,770,1294,1410,116
"Nueces County, Texas",1755,553,1202,1159,-43
"Orange County, Texas",1759,504,1255,951,-304
"Parker County, Texas",2156,636,1520,1442,-78
"Potter County, Texas",1396,458,938,993,55
"Randall County, Texas",1641,682,959,1005,46
"Rockwall County, Texas",2361,944,1417,1869,452
"San Patricio County, Texas",1612,641,971,1177,206
"Smith County, Texas",1515,566,949,1121,172
"Starr County, Texas",1267,390,877,662,-215
"Tarrant County, Texas",2016,744,1272,1389,117
"Taylor County, Texas",1591,620,971,1113,142
"Tom Green County, Texas",1493,517,976,1123,147
"Travis County, Texas",2388,946,1442,1624,182
"Victoria County, Texas",1644,550,1094,1122,28
"Walker County, Texas",1397,535,862,876,14
"Webb County, Texas",1516,601,915,982,67
"Wichita County, Texas",1388,560,828,940,112
"Williamson County, Texas",2215,885,1330,1748,418
"Wise County, Texas",1792,620,1172,1277,105
"Cache County, Utah",1672,464,1208,1190,-18
"Davis County, Utah",1836,532,1304,1576,272
"Salt Lake County, Utah",1909,558,1351,1440,89
"Tooele County, Utah",1741,436,1305,1125,-180
"Utah County, Utah",1908,520,1388,1382,-6
"Washington County, Utah",1759,460,1299,1536,237
"Weber County, Utah",1688,479,1209,1201,-8
"Chittenden County, Vermont",2023,955,1068,1490,422
"Albemarle County, Virginia",1977,700,1277,1550,273
"Arlington County, Virginia",3262,1151,2111,2148,37
"Augusta County, Virginia",1445,442,1003,971,-32
"Bedford County, Virginia",1410,379,1031,895,-136
"Chesterfield County, Virginia",1736,559,1177,1507,330
"Fairfax County, Virginia",2905,987,1918,2108,190
"Fauquier County, Virginia",2226,844,1382,1495,113
"Frederick County, Virginia",1693,512,1181,1483,302
"Hanover County, Virginia",1745,552,1193,1322,129
"Henrico County, Virginia",1657,557,1100,1381,281
"James City County, Virginia",1843,611,1232,1526,294
"Loudoun County, Virginia",2970,861,2109,2175,66
"Montgomery County, Virginia",1614,492,1122,1142,20
"Prince William County, Virginia",2446,739,1707,1848,141
"Roanoke County, Virginia",1416,472,944,1148,204
"Rockingham County, Virginia",1482,450,1032,1062,30
"Spotsylvania County, Virginia",1850,484,1366,1680,314
"Stafford County, Virginia",2315,558,1757,1809,52
"York County, Virginia",1984,665,1319,1518,199
"Alexandria city, Virginia",3154,1153,2001,1960,-41
"Chesapeake city, Virginia",1946,600,1346,1436,90
"Hampton city, Virginia",1605,592,1013,1323,310
"Lynchburg city, Virginia",1241,472,769,937,168
"Newport News city, Virginia",1522,565,957,1193,236
"Norfolk city, Virginia",1748,615,1133,1224,91
"Portsmouth city, Virginia",1619,541,1078,1240,162
"Richmond city, Virginia",1750,725,1025,1192,167
"Roanoke city, Virginia",1202,450,752,905,153
"Suffolk city, Virginia",1845,621,1224,1438,214
"Virginia Beach city, Virginia",1898,662,1236,1551,315
"Benton County, Washington",1859,599,1260,1172,-88
"Chelan County, Washington",1878,486,1392,1313,-79
"Clallam County, Washington",1824,577,1247,1057,-190
"Clark County, Washington",2085,647,1438,1584,146
"Cowlitz County, Washington",1727,594,1133,1141,8
"Franklin County, Washington",1630,544,1086,1244,158
"Grant County, Washington",1453,413,1040,1084,44
"Grays Harbor County, Washington",1488,560,928,931,3
"Island County, Washington",2096,732,1364,1564,200
"King County, Washington",2980,1017,1963,1917,-46
"Kitsap County, Washington",2082,666,1416,1700,284
"Lewis County, Washington",1637,553,1084,999,-85
"Mason County, Washington",1725,524,1201,1167,-34
"Pierce County, Washington",2208,783,1425,1691,266
"Skagit County, Washington",2030,647,1383,1482,99
"Snohomish County, Washington",2469,807,1662,1815,153
"Spokane County, Washington",1688,597,1091,1195,104
"Thurston County, Washington",2053,717,1336,1585,249
"Whatcom County, Washington",2126,679,1447,1426,-21
"Yakima County, Washington",1528,517,1011,1051,40
"Berkeley County, West Virginia",1413,369,1044,1161,117
"Cabell County, West Virginia",1161,419,742,893,151
"Harrison County, West Virginia",1173,351,822,838,16
"Kanawha County, West Virginia",1156,410,746,837,91
"Monongalia County, West Virginia",1383,389,994,871,-123
"Raleigh County, West Virginia",967,398,569,735,166
"Wood County, West Virginia",976,336,640,763,123
"Brown County, Wisconsin",1462,586,876,901,25
"Chippewa County, Wisconsin",1395,572,823,859,36
"Dane County, Wisconsin",1998,856,1142,1258,116
"Dodge County, Wisconsin",1461,606,855,954,99
"Eau Claire County, Wisconsin",1514,614,900,992,92
"Fond du Lac County, Wisconsin",1377,601,776,905,129
"Jefferson County, Wisconsin",1710,609,1101,1015,-86
"Kenosha County, Wisconsin",1575,657,918,1038,120
"La Crosse County, Wisconsin",1522,599,923,967,44
"Manitowoc County, Wisconsin",1155,482,673,746,73
"Marathon County, Wisconsin",1308,551,757,895,138
"Milwaukee County, Wisconsin",1544,684,860,1012,152
"Outagamie County, Wisconsin",1539,593,946,969,23
"Ozaukee County, Wisconsin",1951,724,1227,1146,-81
"Portage County, Wisconsin",1399,548,851,810,-41
"Racine County, Wisconsin",1504,667,837,980,143
"Rock County, Wisconsin",1394,636,758,1040,282
"St. Croix County, Wisconsin",1827,660,1167,979,-188
"Sauk County, Wisconsin",1565,600,965,958,-7
"Sheboygan County, Wisconsin",1324,535,789,882,93
"Walworth County, Wisconsin",1635,668,967,1061,94
"Washington County, Wisconsin",1777,629,1148,1059,-89
"Waukesha County, Wisconsin",1918,735,1183,1214,31
"Winnebago County, Wisconsin",1354,616,738,863,125
"Wood County, Wisconsin",1169,496,673,887,214
"Laramie County, Wyoming",1741,584,1157,1073,-84
"Natrona County, Wyoming",1377,444,933,902,-31
"Arecibo Municipio, Puerto Rico",737,176,561,491,-70
"Bayamón Municipio, Puerto Rico",920,204,716,646,-70
"Caguas Municipio, Puerto Rico",923,167,756,616,-140
"Carolina Municipio, Puerto Rico",996,232,764,594,-170
"Guaynabo Municipio, Puerto Rico",1471,285,1186,774,-412
"Mayagüez Municipio, Puerto Rico",774,195,579,493,-86
"Ponce Municipio, Puerto Rico",798,173,625,542,-83
"San Juan Municipio, Puerto Rico",1103,255,848,550,-298
"Toa Alta Municipio, Puerto Rico",1173,276,897,664,-233
"Toa Baja Municipio, Puerto Rico",857,191,666,574,-92
"Trujillo Alto Municipio, Puerto Rico",958,226,732,558,-174
