County,Total Housing Units built after 2020
"Sangamon County, Illinois",291
"Tazewell County, Illinois",428
"Vermilion County, Illinois",233
"Will County, Illinois",2534
"Williamson County, Illinois",249
"Winnebago County, Illinois",240
"Allen County, Indiana",2604
"Bartholomew County, Indiana",367
"Boone County, Indiana",1078
"Clark County, Indiana",2184
"Delaware County, Indiana",232
"Elkhart County, Indiana",373
"Floyd County, Indiana",141
"Grant County, Indiana",270
"Hamilton County, Indiana",7086
"Hancock County, Indiana",1117
"Hendricks County, Indiana",3279
"Howard County, Indiana",560
"Johnson County, Indiana",2020
"Kosciusko County, Indiana",648
"Lake County, Indiana",3470
"LaPorte County, Indiana",76
"Madison County, Indiana",491
"Marion County, Indiana",4333
"Monroe County, Indiana",1030
"Morgan County, Indiana",488
"Porter County, Indiana",1414
"St. Joseph County, Indiana",1432
"Tippecanoe County, Indiana",1175
"Vanderburgh County, Indiana",1074
"Vigo County, Indiana",192
"Warrick County, Indiana",986
"Wayne County, Indiana",33
"Black Hawk County, Iowa",454
"Dallas County, Iowa",3285
"Dubuque County, Iowa",666
"Johnson County, Iowa",1233
"Linn County, Iowa",1597
"Polk County, Iowa",7418
"Pottawattamie County, Iowa",659
"Scott County, Iowa",1619
"Story County, Iowa",546
"Woodbury County, Iowa",599
"Butler County, Kansas",345
"Douglas County, Kansas",632
"Johnson County, Kansas",5750
"Leavenworth County, Kansas",602
"Riley County, Kansas",167
"Sedgwick County, Kansas",4063
"Shawnee County, Kansas",184
"Wyandotte County, Kansas",447
"Boone County, Kentucky",1351
"Bullitt County, Kentucky",845
"Campbell County, Kentucky",600
"Christian County, Kentucky",660
"Daviess County, Kentucky",729
"Fayette County, Kentucky",2428
"Hardin County, Kentucky",533
"Jefferson County, Kentucky",4469
"Kenton County, Kentucky",1530
"McCracken County, Kentucky",483
"Madison County, Kentucky",1095
"Oldham County, Kentucky",830
"Pulaski County, Kentucky",537
"Warren County, Kentucky",2659
"Ascension Parish, Louisiana",2740
"Bossier Parish, Louisiana",1066
"Caddo Parish, Louisiana",740
"Calcasieu Parish, Louisiana",4080
"East Baton Rouge Parish, Louisiana",3939
"Iberia Parish, Louisiana",150
"Jefferson Parish, Louisiana",1108
